block,strain,plate,UV,alates_PPM_4_hrs,alates_supernatant_4_hrs,nymphs_PPM_4_hrs,nymphs_supernatant_4_hrs,alates_PPM_24_hrs,alates_supernatant_24_hrs,nymphs_PPM_24_hrs,nymphs_supernatant_24_hrs,sum_alates_4_hrs,sum_nymphs_4_hrs,sum_alates_24_hrs,sum_nymphs_24_hrs,total_alates4hr_5_or_more
1,220,17_18_19_20,no,NA,NA,NA,NA,5,6,0,11,NA,NA,11,11,NA
1,220,1_2_3_4,yes,NA,NA,NA,NA,20,0,49,0,NA,NA,20,49,NA
1,220,5_6_7_8,no,NA,NA,NA,NA,9,4,15,7,NA,NA,13,22,NA
1,220,9_10_11_12,yes,NA,NA,NA,NA,7,5,4,11,NA,NA,12,15,NA
2,220,13_14_15_16,no,9,7,3,0,19,6,50,2,16,3,25,52,yes
2,220,1_2_3_4,yes,11,6,3,1,15,0,32,0,17,4,15,32,yes
2,220,5_6_7_8,yes,5,16,0,1,16,4,55,19,21,1,20,74,yes
2,220,9_10_11_12,no,2,15,0,1,7,6,20,24,17,1,13,44,yes
3,220,13_14_15_16,no,2,4,0,1,6,5,11,7,6,1,11,18,yes
3,220,17_18_19_20,no,5,6,2,0,14,2,43,4,11,2,16,47,yes
3,220,1_2_3_4,yes,5,1,1,0,3,2,2,0,6,1,5,2,yes
3,220,21_22_23_24,no,3,4,2,0,4,6,5,5,7,2,10,10,yes
3,220,5_6_7_8,yes,5,3,0,0,7,5,18,7,8,0,12,25,yes
3,220,9_10_11_12,yes,6,1,0,0,11,0,14,0,7,0,11,14,yes
4,220,13_14_15_16,yes,0,1,0,1,3,9,0,1,1,1,12,1,no
4,220,17_18_19_20,no,2,3,0,0,3,11,0,0,5,0,14,0,yes
4,220,21_22_23_24,no,1,0,0,0,5,7,1,3,1,0,12,4,no
4,220,9_10_11_12,yes,7,6,0,0,5,6,20,1,13,0,11,21,yes
5,220,13_14_15_16,no,9,4,1,1,18,4,36,6,13,2,22,42,yes
5,220,17_18_19_20,no,5,8,1,1,18,5,53,12,13,2,23,65,yes
5,220,1_2_3_4,yes,13,4,1,0,20,4,45,0,17,1,24,45,yes
5,220,21_22_23_24,no,3,7,0,1,12,10,32,17,10,1,22,49,yes
5,220,5_6_7_8,yes,4,6,0,2,8,1,27,2,10,2,9,29,yes
5,220,9_10_11_12,yes,4,8,2,1,15,3,36,4,12,3,18,40,yes
6,216,17_18_19_20,no,6,8,0,0,6,10,16,1,14,0,16,17,yes
6,216,1_2_3_4,yes,1,4,0,0,4,1,7,1,5,0,5,8,yes
6,216,21_22_23_24,no,9,5,0,0,12,3,16,2,14,0,15,18,yes
6,216,5_6_7_8,yes,4,5,0,0,7,4,12,4,9,0,11,16,yes
